"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Frequency (Medication)","The frequency a Medication can be prescribed.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.id","Extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://github.com/openimis/openimis_fhir_r5_ig/StructureDefinition/medication-frequency""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.value[x]","Extension.value[x]","","","",0,1,"","","","Timing {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R5/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ext-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.value[x].id","Extension.value[x].id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Extension.value[x].extension","Extension.value[x].extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.value[x].modifierExtension","Extension.value[x].modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneType.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Extension.value[x].event","Extension.value[x].event","","","",0,*,"","","Y","dateTime {[]} {[]}
","When the event occurs","Identifies specific times when the event occurs.","","In a Medication Administration Record, for instance, you need to take a general specification, and turn it into a precise specification.","","","","","","","",,,,,"",,,,"Timing.event",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QLIST<TS>"
"Extension.value[x].repeat","Extension.value[x].repeat","","","",0,1,"","","Y","Element {[]} {[]}
","When the event is to occur","A set of rules that describe when the event is scheduled.","","Many timing schedules are determined by regular repetitions.","","","","","","","",,,,,"",,,,"Timing.repeat",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
tim-1:if there's a duration, there needs to be duration units {duration.empty() or durationUnit.exists()}tim-2:if there's a period, there needs to be period units {period.empty() or periodUnit.exists()}tim-4:duration SHALL be a non-negative value {duration.exists() implies duration >= 0}tim-5:period SHALL be a non-negative value {period.exists() implies period >= 0}tim-6:If there's a periodMax, there must be a period {periodMax.empty() or period.exists()}tim-7:If there's a durationMax, there must be a duration {durationMax.empty() or duration.exists()}tim-8:If there's a countMax, there must be a count {countMax.empty() or count.exists()}tim-9:If there's an offset, there must be a when (and not C, CM, CD, CV) {offset.empty() or (when.exists() and when.select($this in ('C' | 'CM' | 'CD' | 'CV')).allFalse())}tim-10:If there's a timeOfDay, there cannot be a when, or vice versa {timeOfDay.empty() or when.empty()}","Implies PIVL or EIVL"
"Extension.value[x].repeat.id","Extension.value[x].repeat.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"Extension.value[x].repeat.extension","Extension.value[x].repeat.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.value[x].repeat.bounds[x]","Extension.value[x].repeat.bounds[x]","","","",0,1,"","","Y","Duration {[]} {[]}
Range {[]} {[]}Period {[]} {[]}","Length/Range of lengths, or (Start and/or end) limits","Either a duration for the length of the timing schedule, a range of possible length, or outer bounds for start and/or end limits of the timing schedule.","","","","","","","","","",,,,,"",,,,"Timing.repeat.bounds[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","IVL(TS) used in a QSI"
"Extension.value[x].repeat.count","Extension.value[x].repeat.count","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Number of times to repeat","A total count of the desired number of repetitions across the duration of the entire timing specification. If countMax is present, this element indicates the lower bound of the allowed range of count values.","If you have both bounds and count, then this should be understood as within the bounds period, until count times happens.","Repetitions may be limited by end time or total occurrences.","","","","","","","",,,,,"",,,,"Timing.repeat.count",0,1,"tim-8
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.count"
"Extension.value[x].repeat.countMax","Extension.value[x].repeat.countMax","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Maximum number of times to repeat","If present, indicates that the count is a range - so to perform the action between [count] and [countMax] times.","","","","","","","","","",,,,,"",,,,"Timing.repeat.countMax",0,1,"tim-8
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.count"
"Extension.value[x].repeat.duration","Extension.value[x].repeat.duration","","","",0,1,"","","Y","decimal {[]} {[]}
","How long when it happens","How long this thing happens for when it happens. If durationMax is present, this element indicates the lower bound of the allowed range of the duration.","For some events the duration is part of the definition of the event (e.g. IV infusions, where the duration is implicit in the specified quantity and rate). For others, it's part of the timing specification (e.g. exercise).","Some activities are not instantaneous and need to be maintained for a period of time.","","","","","","","",,,,,"",,,,"Timing.repeat.duration",0,1,"tim-7
tim-1tim-4","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Extension.value[x].repeat.durationMax","Extension.value[x].repeat.durationMax","","","",0,1,"","","Y","decimal {[]} {[]}
","How long when it happens (Max)","If present, indicates that the duration is a range - so to perform the action between [duration] and [durationMax] time length.","For some events the duration is part of the definition of the event (e.g. IV infusions, where the duration is implicit in the specified quantity and rate). For others, it's part of the timing specification (e.g. exercise).","Some activities are not instantaneous and need to be maintained for a period of time.","","","","","","","",,,,,"",,,,"Timing.repeat.durationMax",0,1,"tim-7
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Extension.value[x].repeat.durationUnit","Extension.value[x].repeat.durationUnit","","","",0,1,"","","Y","code {[]} {[]}
","s | min | h | d | wk | mo | a - unit of time (UCUM)","The units of time for the duration, in UCUM units
Normal practice is to use the 'mo' code as a calendar month when calculating the next occurrence.","","","","","","","","","",,"required","A unit of time (units from UCUM).","http://hl7.org/fhir/ValueSet/units-of-time|5.0.0","",,,,"Timing.repeat.durationUnit",0,1,"tim-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase.unit"
"Extension.value[x].repeat.frequency","Extension.value[x].repeat.frequency","","","",1,1,"","","Y","positiveInt {[]} {[]}
","Indicates the number of repetitions that should occur within a period. I.e. Event occurs frequency times per period","The number of times to repeat the action within the specified period. If frequencyMax is present, this element indicates the lower bound of the allowed range of the frequency.","","","","If no frequency is stated, the assumption is that the event occurs once per period, but systems SHOULD always be specific about this","","<valuePositiveInt xmlns=""http://hl7.org/fhir"" value=""1""/>","","","",,,,,"",,,,"Timing.repeat.frequency",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Extension.value[x].repeat.frequencyMax","Extension.value[x].repeat.frequencyMax","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Event occurs up to frequencyMax times per period","If present, indicates that the frequency is a range - so to repeat between [frequency] and [frequencyMax] times within the period or period range.","","","","","","","","","",,,,,"",,,,"Timing.repeat.frequencyMax",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Extension.value[x].repeat.period","Extension.value[x].repeat.period","","","",1,1,"","","Y","decimal {[]} {[]}
","Frequency (days)","The minimum number of days the service can be administered again.","","","","","","","","","",,,,,"",,,,"Timing.repeat.period",0,1,"tim-6
tim-5tim-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Extension.value[x].repeat.periodMax","Extension.value[x].repeat.periodMax","","","",0,1,"","","Y","decimal {[]} {[]}
","Upper limit of period (3-4 hours)","If present, indicates that the period is a range from [period] to [periodMax], allowing expressing concepts such as ""do this once every 3-5 days.","","","","","","","","","",,,,,"",,,,"Timing.repeat.periodMax",0,1,"tim-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase"
"Extension.value[x].repeat.periodUnit","Extension.value[x].repeat.periodUnit","","","",1,1,"","","Y","code {[]} {[]}
","s | min | h | d | wk | mo | a - unit of time (UCUM)","The units of time for the period in UCUM units
Normal practice is to use the 'mo' code as a calendar month when calculating the next occurrence.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""d""/>","","","",,"required","A unit of time (units from UCUM).","http://hl7.org/fhir/ValueSet/units-of-time|5.0.0","",,,,"Timing.repeat.periodUnit",0,1,"tim-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","PIVL.phase.unit"
"Extension.value[x].repeat.dayOfWeek","Extension.value[x].repeat.dayOfWeek","","","",0,*,"","","Y","code {[]} {[]}
","mon | tue | wed | thu | fri | sat | sun","If one or more days of week is provided, then the action happens only on the specified day(s).","If no days are specified, the action is assumed to happen every day as otherwise specified.","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/days-of-week|5.0.0","",,,,"Timing.repeat.dayOfWeek",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Extension.value[x].repeat.timeOfDay","Extension.value[x].repeat.timeOfDay","","","",0,*,"","","Y","time {[]} {[]}
","Time of day for action","Specified time of day for action to take place.","When time of day is specified, it is inferred that the action happens every day (as filtered by dayofWeek) on the specified times. If there's a timeOfDay, there cannot be a when, or vice versa.","","","","","","","","",,,,,"",,,,"Timing.repeat.timeOfDay",0,*,"tim-10
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Extension.value[x].repeat.when","Extension.value[x].repeat.when","","","",0,*,"","","Y","code {[]} {[]}
","Code for time period of occurrence","An approximate time period during the day, potentially linked to an event of daily living that indicates when the action should occur.","When more than one event is listed, the event is tied to the union of the specified events.","Timings are frequently determined by occurrences such as waking, eating and sleep.","","","","","","","",,"required","Real-world event relating to the schedule.","http://hl7.org/fhir/ValueSet/event-timing|5.0.0","",,,,"Timing.repeat.when",0,*,"tim-9
tim-10","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","EIVL.event"
"Extension.value[x].repeat.offset","Extension.value[x].repeat.offset","","","",0,1,"","","Y","unsignedInt {[]} {[]}
","Minutes from event (before or after)","The number of minutes from the event. If the event code does not indicate whether the minutes is before or after the event, then the offset is assumed to be after the event.","","","","","","","","","",,,,,"",,,,"Timing.repeat.offset",0,1,"tim-9
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","EIVL.offset"
"Extension.value[x].code","Extension.value[x].code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","C | BID | TID | QID | AM | PM | QD | QOD | +","A code for the timing schedule (or just text in code.text). Some codes such as BID are ubiquitous, but many institutions define their own additional codes. If a code is provided, the code is understood to be a complete statement of whatever is specified in the structured timing data, and either the code or the data may be used to interpret the Timing, with the exception that .repeat.bounds still applies over the code (and is not contained in the code).","BID etc. are defined as 'at institutionally specified times'. For example, an institution may choose that BID is ""always at 7am and 6pm"".  If it is inappropriate for this choice to be made, the code BID should not be used. Instead, a distinct organization-specific code should be used in place of the HL7-defined BID code and/or a structured representation should be used (in this case, specifying the two event times).","","","","","","","","",,"preferred","Code for a known / defined timing pattern.","http://hl7.org/fhir/ValueSet/timing-abbreviation","",,,,"Timing.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QSC.code"
